RGI_ID,Corr_TempBias_MB,Corr_PrcpFac_MB,Mean_MB_Mean,Mean_MB_Std
RGI60-13.44718,-0.12351397817744438,0.9923411468118064,-559.8454670172453,15.564717381877035
RGI60-13.44719,-0.2911961330058269,0.9913566855690001,-503.46302290533026,16.702325036294503
RGI60-13.44720,0.05362747079643082,0.9955305689921423,-307.2978847768258,19.55721228329067
RGI60-13.44721,-0.21538905177276904,0.9939967538752037,-512.2268620621032,18.374152317950784
RGI60-13.44722,-0.1857866577346787,0.9912011484412645,-667.869403934334,14.020138434997962
RGI60-13.44723,-0.1379931442791734,0.994177972826485,-372.73052258237453,16.846077241689155
RGI60-13.44724,-0.45093862511585664,0.9880488945110922,-619.0554876687635,13.680444773126698
RGI60-13.44725,-0.3146585277269503,0.9926188238523362,-528.844541249583,18.179315701703683
RGI60-13.44726,0.005939328737376356,0.9963304421414072,-316.17927663506845,21.320429652363458
RGI60-13.44727,-0.06246056621314705,0.9951506508279895,-496.4512359237279,17.796214135189235
RGI60-13.44728,-0.056875991896256584,0.9909100467099851,-633.265697532423,14.800061812234908
RGI60-13.44729,-0.17622259630556641,0.9897981385735591,-623.7475233993828,13.83226018260204
RGI60-13.44730,0.061137702966469566,0.9925181892032975,-761.7655243250298,14.777058141712208
RGI60-13.44731,-0.26299230465598766,0.9947776848782032,-467.56621756905827,17.432935380984016
RGI60-13.44732,-0.03883403172001671,0.9939977673884199,-598.6505070054483,18.111221716068176
RGI60-13.44733,-0.11572543711890355,0.9954241151918402,-208.34373928242934,22.073958394196755
RGI60-13.44734,-0.25503001465832187,0.9967726642322423,-250.23658073378283,24.932795231547292
RGI60-13.44735,-0.1269217536072908,0.9941877119323667,-615.1373643090191,17.109938989852438
RGI60-13.44736,0.0845439160066898,0.9950659591260709,-285.5688080171869,18.389260195914563
RGI60-13.44737,0.07585910357951088,0.9962169417902871,-430.00154742332955,19.231481646618427
RGI60-13.44738,-0.27515976986577645,0.9869792101208757,-598.5643072634319,10.745415279937223
RGI60-13.44739,-0.08504615312396285,0.9938490519350671,-471.39248723276665,16.267830357321582
